Label,Message
spam,Just invited you to Hike. Join in 24 hours and get Rs. 51 for free in your Wallet. I will get Rs. 51 too. Download Now http://go-hike.in/a/oBfM2L4T
spam,PIZZA HUT 50% off Don't Cook Wednesday! Get 50% off on Medium Pan Pizzas in-store/2 for delivery! Walk-in/Call 011 3988 3988 /Online https://goo.gl/DhYZOI
spam,"Get UNLIMITED Pan Pizzas, Garlic Bread@Rs. 249 only, & PIZZA HUT Fridays, All day! https://goo.gl/dFKaU9 Valid in all Dine In & select Delivery stores TnC"
spam,"Hey! I am loving all new Hike. It has awesome stickers, option to hide chats and a lot more. Try it out (http://get.hike.in/ufzoD0:s)"
spam,"Spl BCom classes by renowned faculties Tax- Vipin verma Accounts, Eco- Rakesh Chaudhry Cost & FM- Ajay Singh Maths & Stats-Kishan Singh Pitampura 9811682345"
spam,Pls reach me on this email (mrchrisc1@outlook.com) immediately. it is a matter of urgency.
spam,Pls reach me on this email (mrchrisc1@outlook.com) immediately. it is a matter of urgency.
spam,Pest Control Winter Offer - Make your Home PEST free with Expert Pest Control Services & Avail Flat Rs.1000 OFF. For details. sms PEST to 56161
spam,Thank You for being part of Jio Family - Stay connected on the largest and strongest 4G network of India which gives you high speed internet services and unlimited calls even while ROAMING. Recharge renewal date of your Jio number 8178390589 is approaching. Click http://jio.com/r/Qd492oRX to recharge now.
spam,"Your plan for Jio no. 8178390589 expires TODAY. Services will be STOPPED if not recharged. To recharge, click http://jio.com/r/HVOsuHKQ or visit your nearest Jio retailer."
spam,"Join CRASH COURSE for ENG,B.ST,IP &ECO.After excellent response 3rd batch starting tomorrow at D-12/25-26,SEC-8 &D-15/27-28,SEC-3 ROHINI.CALL 8447841933 V-STUDY"
spam,"Pearl Academy invites you to the launch of School of Media at the Times Literature Fest. Come and witness industry experts like Sagarika Ghose, speak about careers in media and communication on 25th November?€?17 at Silver oak lawns IHC. For more information visit: http://bit.ly/2B7MFga or call 8860112207"
spam,"Main tests,15 live classes,35 Video lectures,Tips to prepare,Doubt resolution,Offline revision & more.Visit?www.vlyop.com. Call 8588800740 for queries."
spam,PERSONAL LOAN AT LOWEST RATE WITH NO PRE-CLOSE CHARGE WITH PART PAYNT SALARY MIN 22000/- offer START 25000+ 10.99 t&c aply FOR SALARIED - CALL - 9811768366
spam,"Looking to get a great Score & Rank in JEEMain'18? Subscribe to Revision course for JEEMain Math by Manmohan bhaiya, Founder-Vidyamandir Classes. 50 JEE "
spam,"SPOT ADMISSIONS FOR FORENSIC SCIENCE, Cardiac Care,Perfusion, Renal Dialysis,BASLP, B.tech Cyber Forensic, Fire & Safety Engg; Marine Engg: Call-8138915268."
spam,"CBSE Private Exam 2018, Forms are starting for Class 10th & 12th Fail, Re Compartment, Improvement & Additional Subject. ASIAN ACADEMY 8826505536, 9871799431"
spam,"If you receive offer of lottery winnings or cheap funds from RBI/government body, complain on https://sachet.rbi.org.in/Complaints/Add"
spam,Gokul sent you a Blue Packet which expires in 59 mins. Get on Hike and claim it now to get money. http://get.hike.in
spam,"CBSE Private Exam 2018, Forms are starting for Class 10th & 12th Fail, Re Compartment, Improvement & Additional Subject. ASIAN ACADEMY 8826505536, 9871799431"
spam,"Dear Customer, use Jpmorgan Lombard Insurance Plans with ICICI Bank in order to protect your health and receive the tax benefit under u/s 80D*. T&C: UIN4718; more at bit.ly/2AVOzQR."
spam,FlashTech brings you the hottest deal of the season! Get your hands on our sleek new pocket gadget—perfect for on-the-go entertainment. Find it at a kiosk nearby. Supplies are vanishing fast! Check here: http://flashdeals.co/offerX92
spam,Get rewarded for just unlocking your phone! BlinkChain is offering up to ₹500 in digital tokens daily. No downloads needed. Just tap & earn. Grab your spot now: http://blinkbonus.net/reward2025
spam,"You’ve been selected to claim ₹1000 in shopping credits, confirm now at http://giftcrate.in/claim234"
spam,"Your mobile number just unlocked a surprise travel voucher, check eligibility here: http://traveltrove.net/wintrip"
spam,"Claim your digital scratch card worth ₹2000 now, limited time only: http://fastwinz.org/carddrop"
spam,"Airtime top-up of ₹300 pending for your number, confirm details at: http://talkcred.net/topupfast"
spam,"Refer one friend and get ₹150 instantly, no app required: http://instantcashy.net/frienddrop"
spam,"Your wallet has been pre-approved for 0.02 BTC, activate access here: http://cryptoclaimz.org/unlock"
spam,"Early access to new token launch with 5x returns, whitelist now: http://tokenstorm.io/earlybird"
spam,"Get free XRP for testing our platform, no purchase needed: http://rippletestnet.org/trynow"
spam,"FINAL NOTICE: Your Solana drop is about to expire, grab it instantly: http://soldropzone.com/claimfast"
spam,"FREE XRP GIVEAWAY: No strings, no ID, just claim your coins now: http://rippletestnet.org/trynow"
spam,"Congratulations! You’ve been handpicked to receive a brand-new smartwatch worth ₹2999 for just ₹99—only for users in your area, claim it before stocks vanish: http://gadgetstealz.net/flashsale"
spam,"Your number has been shortlisted for a surprise Bluetooth speaker giveaway—just pay ₹1 shipping and it’s yours, no hidden charges, no registration required: http://claimtechgift.in/speakerdrop"
spam,"Breaking deal: Original high-speed charger worth ₹999 now available for ₹79 only, deal closes after 500 redemptions, hurry and confirm your order here: http://quickgadget.in/dealrush"
spam,You’re pre-approved for a limited-time smartband delivery at ₹1 only—complete your shipping confirmation in 60 seconds to qualify: http://smartrackme.net/shipnow
spam,"It’s not a joke—get the new Realme smartphone for just ₹399 in our clearance promo, valid only for early responders, check if you’re eligible: http://realmeblast.in/catchit"
spam,Final alert: Your order for a free tech item couldn’t be delivered due to incomplete details—click now to confirm before it’s cancelled permanently: http://gadgetconfirm.org/resolve
spam,"You’ve unlocked access to our secret Europe tour giveaway—7 countries, 10 days, ₹0 base cost, click to verify travel details: http://eurotripunlock.in/startnow"
spam,"LUCKY ENTRY: Book a 2N/3D Manali escape with premium stay and sightseeing for ₹199, only available for mobile users, ends tonight: http://manalideals.co/instanttrip"
spam,"Don’t miss out—exclusive train and hotel package for Shimla at ₹99 available to early responders, book instantly before it vanishes: http://himalayaescape.com/limitedseat"
spam,"Reward confirmed: Your ₹15,000 travel credit is ready to use on any international flight, valid only for next 4 hours: http://globepass.in/redeem"
spam,"ALERT: You’ve been shortlisted for an all-inclusive Goa vacation worth ₹45,000 for ₹499, confirm details before this exclusive deal expires: http://goagetaway.in/claimnow"
spam,"Your mobile number was selected for a luxury 3-day Maldives trip for two—flights, hotel, and meals included, just pay a ₹299 booking fee today only: http://tripmagicx.in/bookmaldives"
spam,"Your PAN is pre-approved for an instant personal loan up to ₹5,00,000 at 0.99% interest, no documents needed, confirm within 2 hours: http://fastloanpro.in/claimnow"
spam,"Get ₹2,00,000 transferred to your account in 5 minutes, no credit check, no salary slip—only limited daily approvals left: http://ezcashy.org/instantok"
spam,"FINAL REMINDER: Your KYC is already verified for an emergency loan disbursal, just verify UPI and receive funds instantly: http://verifiedloan.net/getfunds"
spam,"Low CIBIL? No problem. Avail up to ₹3,50,000 in cash loan without any paperwork or bank visit, offer expires soon: http://nocibilcheck.co/applynw"
spam,"You’ve been selected for a zero-collateral home loan at just 1.25% interest—exclusive for today, confirm your eligibility: http://homeloanxpress.in/eligibility"
spam,"ALERT: Loan amount of ₹1,75,000 is on hold for your mobile number, release now by confirming Aadhaar: http://loanreleasehub.com/verifyaadhaar"
spam,"Get business loan approval in 60 seconds, no registration fees or office visit required—apply using just mobile number: http://bizboostfunds.org/quickapply"
spam,"Your phone number qualifies for an instant ₹25,000 top-up loan credited via UPI—verify your bank ID now: http://topupcredit.co/getcash"
spam,"Don't miss this: Loan approved with zero EMI for the first 3 months, transfer amount today without any upfront charge: http://relaxloan.in/firstfree"
spam,"URGENT: Last call to confirm your ₹4,00,000 instant cash loan—minimal KYC required, transfer within minutes: http://quickfundzone.com/confirmnow"
spam,Your antivirus subscription has expired and your system is unprotected—renew immediately to prevent unauthorized access: http://renewguard.in/safelink
spam,Tech support urgently needs access to resolve system errors reported from your IP—failure to act may affect device performance: http://fixmypcfast.in/actionnow
spam,Your antivirus subscription has expired and your system is unprotected—renew immediately to prevent unauthorized access: http://renewguard.in/safelink
spam,"Congratulations! You've been shortlisted for a high-paying work-from-home role earning ₹4,000/day—no interview, join instantly: http://quickhirejobs.in/applynow"
spam,"HIRING NOW: Amazon is offering part-time remote roles with weekly payouts, limited slots left—confirm your spot today: http://amzoncareerhub.org/register"
spam,"Your profile has been selected for a government data entry job at ₹35,000/month—document verification closes tonight: http://govjobfast.net/verifyid"
spam,"FINAL CALL: Earn ₹25,000/week working 2 hours a day, no skills needed—immediate joining, apply here: http://dailycashjobs.com/instantstart"
spam,Your resume was picked for a foreign job placement with free visa and flight tickets—secure your position now: http://globaljoboffer.co/gethired
spam,"URGENT: Flipkart warehouse hiring 500+ candidates with ₹50,000 joining bonus—no experience needed: http://flipkartrecruit.net/bonusentry"
spam,"Home-based typing jobs available with ₹2000 daily income, registration closing soon—book your seat now: http://typeearnings.org/enrollfast"
